,title,mood
0,1968_split_1.wav,화남
1,1968_split_2.wav,화남
2,1968_split_3.wav,화남
3,1968_split_4.wav,화남
4,1968_split_5.wav,화남
5,1968_split_6.wav,화남
6,1968_split_7.wav,화남
7,1968_split_8.wav,화남
8,1968_split_9.wav,화남
9,1968_split_10.wav,화남
10,1968_split_11.wav,화남
11,1968_split_12.wav,화남
12,1968_split_13.wav,화남
13,1968_split_14.wav,화남
14,1968_split_15.wav,화남
15,1968_split_16.wav,화남
16,1968_split_17.wav,화남
17,1968_split_18.wav,화남
18,1968_split_19.wav,화남
19,1968_split_20.wav,화남
20,1968_split_21.wav,화남
21,1968_split_22.wav,화남
22,1968_split_23.wav,화남
23,1968_split_24.wav,화남
24,1968_split_25.wav,화남
25,1968_split_26.wav,화남
26,1968_split_27.wav,화남
28,2 Hearts_split_1.wav,어둡게
29,2 Hearts_split_2.wav,어둡게
30,2 Hearts_split_3.wav,어둡게
31,2 Hearts_split_4.wav,어둡게
32,2 Hearts_split_5.wav,어둡게
33,2 Hearts_split_6.wav,어둡게
34,2 Hearts_split_7.wav,어둡게
35,2 Hearts_split_8.wav,어둡게
36,2 Hearts_split_9.wav,어둡게
37,2 Hearts_split_10.wav,어둡게
38,2 Hearts_split_11.wav,어둡게
39,2 Hearts_split_12.wav,어둡게
40,2 Hearts_split_13.wav,어둡게
41,2 Hearts_split_14.wav,어둡게
42,2 Hearts_split_15.wav,어둡게
43,2 Hearts_split_16.wav,어둡게
44,2 Hearts_split_17.wav,어둡게
45,2 Hearts_split_18.wav,어둡게
46,2 Hearts_split_19.wav,어둡게
47,2 Hearts_split_20.wav,어둡게
48,2 Hearts_split_21.wav,어둡게
49,2 Hearts_split_22.wav,어둡게
50,2 Hearts_split_23.wav,어둡게
51,2 Hearts_split_24.wav,어둡게
52,2 Hearts_split_25.wav,어둡게
54,221B Baker Street_split_1.wav,어둡게
55,221B Baker Street_split_2.wav,어둡게
56,221B Baker Street_split_3.wav,어둡게
57,221B Baker Street_split_4.wav,어둡게
58,221B Baker Street_split_5.wav,어둡게
59,221B Baker Street_split_6.wav,어둡게
60,221B Baker Street_split_7.wav,어둡게
61,221B Baker Street_split_8.wav,어둡게
62,221B Baker Street_split_9.wav,어둡게
63,221B Baker Street_split_10.wav,어둡게
64,221B Baker Street_split_11.wav,어둡게
65,221B Baker Street_split_12.wav,어둡게
66,221B Baker Street_split_13.wav,어둡게
67,221B Baker Street_split_14.wav,어둡게
68,221B Baker Street_split_15.wav,어둡게
69,221B Baker Street_split_16.wav,어둡게
70,221B Baker Street_split_17.wav,어둡게
71,221B Baker Street_split_18.wav,어둡게
72,221B Baker Street_split_19.wav,어둡게
73,221B Baker Street_split_20.wav,어둡게
74,221B Baker Street_split_21.wav,어둡게
75,221B Baker Street_split_22.wav,어둡게
77,"35,000 Feet_split_1.wav",어둡게
78,"35,000 Feet_split_2.wav",어둡게
79,"35,000 Feet_split_3.wav",어둡게
80,"35,000 Feet_split_4.wav",어둡게
81,"35,000 Feet_split_5.wav",어둡게
82,"35,000 Feet_split_6.wav",어둡게
83,"35,000 Feet_split_7.wav",어둡게
84,"35,000 Feet_split_8.wav",어둡게
85,"35,000 Feet_split_9.wav",어둡게
86,"35,000 Feet_split_10.wav",어둡게
87,"35,000 Feet_split_11.wav",어둡게
88,"35,000 Feet_split_12.wav",어둡게
89,"35,000 Feet_split_13.wav",어둡게
90,"35,000 Feet_split_14.wav",어둡게
91,"35,000 Feet_split_15.wav",어둡게
92,"35,000 Feet_split_16.wav",어둡게
93,"35,000 Feet_split_17.wav",어둡게
94,"35,000 Feet_split_18.wav",어둡게
95,"35,000 Feet_split_19.wav",어둡게
96,"35,000 Feet_split_20.wav",어둡게
97,"35,000 Feet_split_21.wav",어둡게
98,"35,000 Feet_split_22.wav",어둡게
99,"35,000 Feet_split_23.wav",어둡게
100,"35,000 Feet_split_24.wav",어둡게
101,"35,000 Feet_split_25.wav",어둡게
102,"35,000 Feet_split_26.wav",어둡게
103,"35,000 Feet_split_27.wav",어둡게
105,5 Cents Back_split_1.wav,슬픔
106,5 Cents Back_split_2.wav,슬픔
107,5 Cents Back_split_3.wav,슬픔
108,5 Cents Back_split_4.wav,슬픔
109,5 Cents Back_split_5.wav,슬픔
110,5 Cents Back_split_6.wav,슬픔
111,5 Cents Back_split_7.wav,슬픔
112,5 Cents Back_split_8.wav,슬픔
113,5 Cents Back_split_9.wav,슬픔
114,5 Cents Back_split_10.wav,슬픔
115,5 Cents Back_split_11.wav,슬픔
116,5 Cents Back_split_12.wav,슬픔
117,5 Cents Back_split_13.wav,슬픔
118,5 Cents Back_split_14.wav,슬픔
119,5 Cents Back_split_15.wav,슬픔
120,5 Cents Back_split_16.wav,슬픔
121,5 Cents Back_split_17.wav,슬픔
122,5 Cents Back_split_18.wav,슬픔
123,5 Cents Back_split_19.wav,슬픔
124,5 Cents Back_split_20.wav,슬픔
125,5 Cents Back_split_21.wav,슬픔
126,5 Cents Back_split_22.wav,슬픔
127,5 Cents Back_split_23.wav,슬픔
128,5 Cents Back_split_24.wav,슬픔
129,5 Cents Back_split_25.wav,슬픔
131,5-O-July_split_1.wav,밝게
132,5-O-July_split_2.wav,밝게
133,5-O-July_split_3.wav,밝게
134,5-O-July_split_4.wav,밝게
135,5-O-July_split_5.wav,밝게
136,5-O-July_split_6.wav,밝게
137,5-O-July_split_7.wav,밝게
138,5-O-July_split_8.wav,밝게
139,5-O-July_split_9.wav,밝게
140,5-O-July_split_10.wav,밝게
141,5-O-July_split_11.wav,밝게
142,5-O-July_split_12.wav,밝게
143,5-O-July_split_13.wav,밝게
144,5-O-July_split_14.wav,밝게
145,5-O-July_split_15.wav,밝게
146,5-O-July_split_16.wav,밝게
147,5-O-July_split_17.wav,밝게
148,5-O-July_split_18.wav,밝게
149,5-O-July_split_19.wav,밝게
150,5-O-July_split_20.wav,밝게
151,5-O-July_split_21.wav,밝게
152,5-O-July_split_22.wav,밝게
154,555_split_1.wav,밝게
155,555_split_2.wav,밝게
156,555_split_3.wav,밝게
157,555_split_4.wav,밝게
158,555_split_5.wav,밝게
159,555_split_6.wav,밝게
160,555_split_7.wav,밝게
161,555_split_8.wav,밝게
162,555_split_9.wav,밝게
163,555_split_10.wav,밝게
164,555_split_11.wav,밝게
165,555_split_12.wav,밝게
166,555_split_13.wav,밝게
167,555_split_14.wav,밝게
168,555_split_15.wav,밝게
169,555_split_16.wav,밝게
170,555_split_17.wav,밝게
171,555_split_18.wav,밝게
173,8-Bit Dreamscape_split_1.wav,행복
174,8-Bit Dreamscape_split_2.wav,행복
175,8-Bit Dreamscape_split_3.wav,행복
176,8-Bit Dreamscape_split_4.wav,행복
177,8-Bit Dreamscape_split_5.wav,행복
178,8-Bit Dreamscape_split_6.wav,행복
179,8-Bit Dreamscape_split_7.wav,행복
180,8-Bit Dreamscape_split_8.wav,행복
181,8-Bit Dreamscape_split_9.wav,행복
182,8-Bit Dreamscape_split_10.wav,행복
183,8-Bit Dreamscape_split_11.wav,행복
184,8-Bit Dreamscape_split_12.wav,행복
185,8-Bit Dreamscape_split_13.wav,행복
186,8-Bit Dreamscape_split_14.wav,행복
187,8-Bit Dreamscape_split_15.wav,행복
188,8-Bit Dreamscape_split_16.wav,행복
189,8-Bit Dreamscape_split_17.wav,행복
190,8-Bit Dreamscape_split_18.wav,행복
191,8-Bit Dreamscape_split_19.wav,행복
192,8-Bit Dreamscape_split_20.wav,행복
193,8-Bit Dreamscape_split_21.wav,행복
194,8-Bit Dreamscape_split_22.wav,행복
196,80's Vampire Car Chase_split_1.wav,밝게
