title,genre,mood,instruments,download_url
Hollow Bells,힙합 & 랩,화남,"['bass', 'drums', 'synth', '808', 'flute']",https://www.youtube.com/audiolibrary_download?vid=7b37d6cb28442006
Boi,힙합 & 랩,화남,"['Drums', 'Bass', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=3b64bf04ba6476cf
Sci-Fi Swamp Chase,영화음악,화남,"['Bass', 'Organ', 'Synth', 'Drums', 'Piano']",https://www.youtube.com/audiolibrary_download?vid=d76fd2ba9d4837cd
Lone Wolf,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=f780627abf56aaf1
Subterranean Monster,영화음악,화남,"['Bass', 'Organ', 'Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=a238dd22905b9d5e
Hollywood Traffic Jam,영화음악,화남,"['drums', 'sound design', 'epic percussion', 'strings', 'trumpet', 'brass']",https://www.youtube.com/audiolibrary_download?vid=1d6bca6ba5bbe4be
Blow Thing,힙합 & 랩,화남,"['drums', 'horn', 'synth']",https://www.youtube.com/audiolibrary_download?vid=061b75dc3131a7de
Nothin' Yet,얼터너티브 & 펑크,화남,"['drums', 'synth', 'bass', 'electric guitar', 'vocal chops']",https://www.youtube.com/audiolibrary_download?vid=7528d55a0200dc8f
Sonos,재즈 및 블루스,화남,"['electric guitar', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=d948952a3cccf2fe
March On,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=dd349ceb26f97c13
The Saloon,락,화남,"['bass', 'synth', 'drums', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=30cf8a0838a1645e
Move Out,힙합 & 랩,화남,"['Synth', 'Drums', 'Electric Guitar', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=fd20d7751e0da484
Slap Happy Riddim,댄스 & 일렉트로닉,화남,"['bass', 'vocal chops', 'bells', 'brass', 'mallets', 'drums']",https://www.youtube.com/audiolibrary_download?vid=c44207df6e8b5c2a
"Blood, Sweat, No Tears",락,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=bd151f17a205a32f
Roots of Legend,힙합 & 랩,화남,"['Rhodes', 'Analog Synth', 'Drums', 'Brass', 'Electric Bass', 'Organ']",https://www.youtube.com/audiolibrary_download?vid=1058d2645796740f
Wixypol Rodeo,댄스 & 일렉트로닉,화남,"['Synth', 'Drum Machine']",https://www.youtube.com/audiolibrary_download?vid=0e9249c77ed029ec
Controlled Distress,락,화남,"['bass', 'electric guitar', 'synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=d05a3d182d73af7c
Barilicious,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=6ee4541c3bc524e4
Moskito,댄스 & 일렉트로닉,화남,"['bass', 'drums', 'synths']",https://www.youtube.com/audiolibrary_download?vid=250596e915f7c1e1
Punk In Donuts,락,화남,"['strings', 'electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=db117cf2bae10f45
Croc,힙합 & 랩,화남,"['synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=3674ddc0dec468d5
Manic. No Depression.,얼터너티브 & 펑크,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=949f34cb40a52f3f
Chase,힙합 & 랩,화남,"['drums', 'synth']",https://www.youtube.com/audiolibrary_download?vid=99b388ded3db5317
Mission Start,힙합 & 랩,화남,"['synth', 'horn', 'drums']",https://www.youtube.com/audiolibrary_download?vid=6bfb8a0944345cd5
Demon,댄스 & 일렉트로닉,화남,"['synth', 'keys', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=e46c64c11c3bae8b
The Big Guns,락,화남,"['drums', 'electric guitar', 'bass', 'synth', 'acoustic guitar']",https://www.youtube.com/audiolibrary_download?vid=f518966af09174ce
Tripolar,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=9b5af2f58410e23c
Chtulthu,락,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=20f2bb2142c614e4
Canada,힙합 & 랩,화남,"['synth', 'drums', 'bass', '808']",https://www.youtube.com/audiolibrary_download?vid=87cc1de1ec8921f3
Cupid's Tubes,댄스 & 일렉트로닉,화남,"['percussion', 'drums', 'synth', 'drum machine']",https://www.youtube.com/audiolibrary_download?vid=8f8f88fbe79c74ab
Game On,락,화남,"['synth', 'drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=29427aecffbc0f94
Barge,댄스 & 일렉트로닉,화남,"['Drums', 'Synth', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=f6682afd508e2117
Fast Anxiety,락,화남,"['drums', 'bass', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=c9f009dac6b61c12
Kill Kill Kill,영화음악,화남,"['synth', 'bass', 'drums', 'bells']",https://www.youtube.com/audiolibrary_download?vid=fd91d421c2672c0d
Fight or Flight,락,화남,"['Guitar', 'Bass Drums']",https://www.youtube.com/audiolibrary_download?vid=fa4b9712b6843b1e
Concrete,락,화남,"['electric guitar', 'drums', 'synth', 'bass']",https://www.youtube.com/audiolibrary_download?vid=0a550d55611ea5c4
Lyra Mortis,영화음악,화남,['synth'],https://www.youtube.com/audiolibrary_download?vid=98d7e2a3aa107e01
Beartooth Strangleheart,힙합 & 랩,화남,"['synth', 'drums', 'bass', '808', 'piano']",https://www.youtube.com/audiolibrary_download?vid=d73311efb66da38b
Running Scared,락,화남,"['drums', 'bass', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=c7248204646adf6b
Street Smart,락,화남,"['electric guitar', 'bass', 'drums', 'synth']",https://www.youtube.com/audiolibrary_download?vid=e850f63c7acc216a
Mexico,힙합 & 랩,화남,"['synth', 'drums', 'bass', '808']",https://www.youtube.com/audiolibrary_download?vid=7a706f7f41af79dc
Dirty Hands,락,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=cd47a1d151173b87
Don't Shoot!,락,화남,"['synth', 'bass', 'drums', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=09d5beb340859e3c
The Von Trapp Family Choir,힙합 & 랩,화남,"['bass', 'drums', 'synth', '808', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=8d56f74218acae3e
Frustrated,힙합 & 랩,화남,"['bass', 'synth', 'drums', 'electric piano', 'bells']",https://www.youtube.com/audiolibrary_download?vid=673f1ddbf0d95637
Final Boss,영화음악,화남,"['percussion', 'strings', 'drums', 'synth']",https://www.youtube.com/audiolibrary_download?vid=6bca17aa0750131e
Sewer,댄스 & 일렉트로닉,화남,"['synth', 'drums', 'bass', '808']",https://www.youtube.com/audiolibrary_download?vid=98105dd5ebfd0b7d
Tension Nonstop,영화음악,화남,['strings'],https://www.youtube.com/audiolibrary_download?vid=fc9d63766b25e399
Luck Witch,힙합 & 랩,화남,"['drums', 'bass', 'synth', '808', 'piano']",https://www.youtube.com/audiolibrary_download?vid=8a40a7dccf95d9ae
Let Her In,락,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=abc3be1fc6b6c597
Black Bird - Primal Drive,락,화남,['Drums'],https://www.youtube.com/audiolibrary_download?vid=2fde2f18b9eb0bce
Mad Science (Sting),댄스 & 일렉트로닉,화남,"['Synth', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=c7f409f9663b1647
Granite,락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=bca666e45520b6b7
Paintball Theme,댄스 & 일렉트로닉,화남,"['Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=dfa3560a144f9b5c
Transmission,락,화남,"['Electric Guitar', 'Bass', 'Synth', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=c6e34cae20b7dfbd
Lucky Shot,얼터너티브 & 펑크,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=d28c0fdc7c81ed97
Your Voice Is American,얼터너티브 & 펑크,화남,"[""Electric Guitar'"", ""'Bass'"", ""'Drums'"", 'Organ', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=cd72f78b01ecd2ff
Ever Felt pt.2,힙합 & 랩,화남,"['drums', 'piano', 'synths', 'bass']",https://www.youtube.com/audiolibrary_download?vid=e57bd1865b40bb5d
Outlet,얼터너티브 & 펑크,화남,"['drums', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=eaf6326de47c0678
Demilitarized Zone,락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=db129472bfe67e47
Stage Dive,얼터너티브 & 펑크,화남,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=e6471d7451f86c9a
North Sea,락,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=b4803544be0c1a15
The Fiery Furnace,락,화남,"['Electric Guitar', 'Bass Drums']",https://www.youtube.com/audiolibrary_download?vid=dfe94f390e0ddf40
Donors,얼터너티브 & 펑크,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=c49c76b1e3226004
Sun Spots,락,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=af3bf698d0e6a9cd
Barge (Sting),댄스 & 일렉트로닉,화남,"['Drums', 'Synth', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=d25158abaa2e149a
Armadillo,얼터너티브 & 펑크,화남,"['Drums', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=cfa8d2f35697f58e
Dubstep Light,힙합 & 랩,화남,"['Synth', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=10dde2c59e3974ef
Unusual Habitat,얼터너티브 & 펑크,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=c889d27d6006087b
Pentagram,락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=aff5831e608956ee
Bustin Loose (with lead),락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=3ff66a14d6ddcde8
Fire Breather,락,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=c7f87f5ff9b185c6
Tribal War Council,영화음악,화남,"['Drums', 'Trumpet']",https://www.youtube.com/audiolibrary_download?vid=b9576afd1c3845d6
Half Pipe,얼터너티브 & 펑크,화남,"['Electric Guitar', 'Drums', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=e9d68a2072868ad0
Coincidental Fabric,재즈 및 블루스,화남,"['Drums', 'Bass', 'Synth', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=ab0d6b2a59cc84de
The Hunter,락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=382094ee4128cc2a
Taking a Beating,락,화남,"['Electric Guitar', 'Bass', 'Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=a7af224eb226a7cb
Tied Up,락,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=9f6d278c90c96de9
Bustin Loose,락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=75790660327b06f9
Last Second,락,화남,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=84e9b03e8e2419f3
Tight Perm,락,화남,"['Drums', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=884f2575d266418e
Gut Check,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=aa5b0a33ab438974
Heavy Action,락,화남,"['Electric Guitar', 'Bass', 'Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=fe64026576d3856c
Dark Walk,잔잔한 음악,화남,"['Piano', 'Synth', 'Strings', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=832b44f188d5f64e
Good for Nothing Safety,락,화남,"['Drums', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=a385efa7fb4a97b2
Beat Down,락,화남,"['Drums', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=a85b73dd18a11188
Green Daze,락,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=762c71a9c92602c9
Rise,락,화남,"['electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=9f8b79c9012119e4
Pomade,얼터너티브 & 펑크,화남,"['Electric Guitar', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=98e847d6e3ddacd9
First In Line,댄스 & 일렉트로닉,화남,"['Drums', 'Bass', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=8eee7474f3d464ae
Iron Curtain,락,화남,"['Drums', 'Bass', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=908489e8fa50d59e
