title,genre,mood,instruments,download_url
Kuku,레게,밝게,"['percussion', 'mallets']",https://www.youtube.com/audiolibrary_download?vid=0045778cfb40e8b4
When All of This is Over,영화음악,밝게,['brass'],https://www.youtube.com/audiolibrary_download?vid=70d8f95e83cfd835
Dive Down,얼터너티브 & 펑크,밝게,"['synth', 'electric guitar', 'drums']",https://www.youtube.com/audiolibrary_download?vid=3c0b317d8fbdbfe5
La Danse Fetish de Femme,레게,밝게,['percussion'],https://www.youtube.com/audiolibrary_download?vid=a10fbfa25ce07e42
Go Go Gadget Rockstar,얼터너티브 & 펑크,밝게,"['drums', 'drum machine', 'bass', 'synth', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=d423ab35e035cf91
After You,락,밝게,"['acoustic guitar', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=938e404c1d1f5468
Catch Up,컨트리 & 포크,밝게,"['acoustic guitar', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=0f2834b128bee0ff
Dance of the Fireflies,컨트리 & 포크,밝게,"['drums', 'bass', 'acoustic guitar']",https://www.youtube.com/audiolibrary_download?vid=97f3af01241cc981
Pink Sunrise,컨트리 & 포크,밝게,"['electric guitar', 'piano', 'synth']",https://www.youtube.com/audiolibrary_download?vid=b17d212b55a30d30
Miss You Love,팝,밝게,"['acoustic guitar', 'drums', 'synth']",https://www.youtube.com/audiolibrary_download?vid=acba3cf4f227d8ae
Everything You Wanted,락,밝게,"['acoustic guitar', 'electric guitar', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=f629bf8b32bcd467
Satisfaction Guaranteed,레게,밝게,"['acoustic guitar', 'electric guitar', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=0b9cb6104604d086
Honey,댄스 & 일렉트로닉,밝게,"['synth', 'drums', 'piano']",https://www.youtube.com/audiolibrary_download?vid=7691f3627aa06ca4
Grut,팝,밝게,"['keyboard', 'synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=58c1622f4882b898
Everglow,팝,밝게,"['keyboard', 'synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=77581122d1234abc
View of the Valley,영화음악,밝게,"['piano', 'woodwinds', 'organ', 'acoustic guitar']",https://www.youtube.com/audiolibrary_download?vid=aaf4fa39cdc7af01
Lilac Skies,락,밝게,"['synth', 'drums', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=4e466347a3d3d540
Krishna's Calliope,잔잔한 음악,밝게,['synth'],https://www.youtube.com/audiolibrary_download?vid=1f1ef27611ca93a2
Triumph on the Prairie,락,밝게,"['piano', 'electric guitar', 'synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=829333c451a87297
No Talk,얼터너티브 & 펑크,밝게,"['synth', 'electric guitar', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=c02136e00a7086d7
Hickory Hollow,컨트리 & 포크,밝게,"['acoustic guitar', 'bass', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=b8b8cbd5c05572ad
Global,팝,밝게,"['drums', 'synth', 'bass', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=0ddfefca05c9d9bf
Dude,힙합 & 랩,밝게,"['keyboard', 'synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=b29fa14ab8d48af3
