title,genre,mood,instruments,download_url
Cottonmouth Strut,R&B 소울,어둡게,"['keys', 'synth', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=12c70bda8cefb7e2
River City,영화음악,어둡게,"['electric guitar', 'strings', 'bass', 'drums', 'keys']",https://www.youtube.com/audiolibrary_download?vid=9ca63529fe32e143
Apprehensive at Best,영화음악,어둡게,"['horns', 'drums', 'strings', 'synth']",https://www.youtube.com/audiolibrary_download?vid=6ccc7d8ba687ee6e
A Hand In The Dark,영화음악,어둡게,"['bass', 'percussion', 'keys', 'acoustic guitar', 'mandolin']",https://www.youtube.com/audiolibrary_download?vid=b01140f399ebd781
Fresno Alley,락,어둡게,"['bass', 'percussion', 'drums', 'electic guitar']",https://www.youtube.com/audiolibrary_download?vid=8cf72700de3ceb92
Butchers,힙합 & 랩,어둡게,"['Drums', 'Bass', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=ff0736fb3e7ffdb0
Rewired,댄스 & 일렉트로닉,어둡게,"['drums', 'bass', 'keys', 'synth', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=f2fd714af79a5784
Wide Boys,영화음악,어둡게,"['synth', 'percussion', 'electric guitar', 'piano']",https://www.youtube.com/audiolibrary_download?vid=cfd012190c55f0d3
Hangin' with the Worms,영화음악,어둡게,"['Sound fx', 'synthesizer', 'drums', 'bass', 'choir', 'sound design']",https://www.youtube.com/audiolibrary_download?vid=4038ea15dcb47a6a
Rockville,팝,어둡게,"['keys', 'synth', 'drums', 'bass', 'piano']",https://www.youtube.com/audiolibrary_download?vid=0d2250f62a441fd5
Take the Hill,댄스 & 일렉트로닉,어둡게,"['drums', 'bass', 'synth', 'electric guitar', 'keys']",https://www.youtube.com/audiolibrary_download?vid=acd72ce97442360b
Backwoods BBQ,재즈 및 블루스,어둡게,['electric guitar'],https://www.youtube.com/audiolibrary_download?vid=a577e6d3a8a590f4
They Might Not,잔잔한 음악,어둡게,"['Synth', 'Strings', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=fdce0df3f10e0a6f
Street Rhapsody,힙합 & 랩,어둡게,"['synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=03e22b60d722a517
Moorland,영화음악,어둡게,"['electric guitar', 'percussion', 'synth']",https://www.youtube.com/audiolibrary_download?vid=85b90ff3afe2a8a8
Slow Burn,댄스 & 일렉트로닉,어둡게,"['synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=7c8153202b0ba486
Water Truck,영화음악,어둡게,"['piano', 'woodwinds', 'synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=73fdcc884571fbcf
Kreuzberg Nights,댄스 & 일렉트로닉,어둡게,"['synths', 'drums', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=8768063ccf8b7dbc
Finding Synergy,락,어둡게,"['drums', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=c40ae1d1cfae9883
No.8 Requiem,영화음악,어둡게,"['piano', 'strings']",https://www.youtube.com/audiolibrary_download?vid=34852fd10928c876
Savior Search,힙합 & 랩,어둡게,"['synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=fd71157ca26f6a0f
Versace Beat,힙합 & 랩,어둡게,"['synth', 'synth bass', 'keys', 'flute']",https://www.youtube.com/audiolibrary_download?vid=e81004b2d154d059
Superfuzz Grind,락,어둡게,"['drums', 'bass', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=95f83ad2ac0d8981
The Emperor's New Nikes,영화음악,어둡게,"['electric guitar', 'bass', 'drums', 'keys']",https://www.youtube.com/audiolibrary_download?vid=067ca2d0c04c33d7
Tangled,힙합 & 랩,어둡게,"['synth', 'drums', 'bass', '808']",https://www.youtube.com/audiolibrary_download?vid=e5040b47b4d875d2
Forest of Fear,영화음악,어둡게,"['strings', 'drums']",https://www.youtube.com/audiolibrary_download?vid=90f89da7ea647984
Window Demons,잔잔한 음악,어둡게,"['Piano', 'Synth', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=d3d0032e4b7022d0
Puffer,댄스 & 일렉트로닉,어둡게,"['synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=5ceadc46f650a9e9
White Hats,영화음악,어둡게,"['synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=235d4b63c773808b
Dark Alley,힙합 & 랩,어둡게,"['drum machine', 'piano', 'sound design', 'strings', 'drums', 'flutes', 'brass']",https://www.youtube.com/audiolibrary_download?vid=7b2fdb92acb6e6fb
Spirit of the Dead,잔잔한 음악,어둡게,['piano'],https://www.youtube.com/audiolibrary_download?vid=bc86555a798d380b
Heartbeat of the Hood,잔잔한 음악,어둡게,"['synthesizer', 'piano', 'bass', 'drum machine', 'sound design']",https://www.youtube.com/audiolibrary_download?vid=a5711a2e3b075f14
Tomb Raider,힙합 & 랩,어둡게,"['synth', 'drums', 'strings', 'keys']",https://www.youtube.com/audiolibrary_download?vid=bcab2217941440e9
City of Jewels,힙합 & 랩,어둡게,"['Vibraphone', 'Bass', 'Trumpet', 'Drums', 'Modular synthesizer', 'Wurlitzer', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=839df6dca43f3af8
