title,genre,mood,instruments,download_url
Friday Fugue,영화음악,행복,"['piano', 'synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=3bfaa875d617e8b3
No.9 Esther’s Waltz,클래식,행복,"['piano', 'mallets']",https://www.youtube.com/audiolibrary_download?vid=4a18216c7c66e912
Momo Do,레게,행복,"['percussion', 'flute', 'drums', 'bass', 'mallets']",https://www.youtube.com/audiolibrary_download?vid=c6e06da72db2a4f9
Fanta Mankane,레게,행복,"['percussion', 'mallets']",https://www.youtube.com/audiolibrary_download?vid=4a92ec555260d56c
Festivities in Belize,레게,행복,"['drums', 'bass', 'synth', 'vocal chops', '808', 'trumpet', 'horns', 'brass']",https://www.youtube.com/audiolibrary_download?vid=c8fc8cb9bf76c269
Life After Death,힙합 & 랩,행복,"['synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=c91f341b279dff72
Mama,팝,행복,"['acoustic guitar', 'drums', 'synth', 'bass', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=22e3683792bb0779
Apolllo,팝,행복,"['keyboard', 'synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=c40b019d5c58a9d6
Corndogs in Santa Monica,R&B 소울,행복,"['piano', 'drums', 'organ']",https://www.youtube.com/audiolibrary_download?vid=013620e7bdd6b904
Barnyard Surprise,컨트리 & 포크,행복,"['drums', 'percussion', 'bass', 'piano', 'acoustic guitar', 'harmonica', 'banjo']",https://www.youtube.com/audiolibrary_download?vid=6e7d482da61fcbbd
Keep It 98 Plus 2,팝,행복,"['drums', 'bass', 'synth', 'vocal chops', '808']",https://www.youtube.com/audiolibrary_download?vid=e18d3514ed786d51
Ready or Not,팝,행복,"['piano', 'synth', 'drums', 'vocal chops']",https://www.youtube.com/audiolibrary_download?vid=8f844ff0d9c45f40
Calimba,아동,행복,"['mallets', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=2b29bb9cc03c6250
The Closest Without Going Over,댄스 & 일렉트로닉,행복,"['drums', 'bass', 'synth', 'electric guitar', 'drum machine']",https://www.youtube.com/audiolibrary_download?vid=3097615a6db3d41d
Benji,힙합 & 랩,행복,"['vocal chops', 'bass', 'drums', 'percussion', 'electric guitar', 'strings']",https://www.youtube.com/audiolibrary_download?vid=291435ff0bc93150
There Are Chirping Birdies In My Soul,컨트리 & 포크,행복,"['acoustic guitar', 'piano', 'electric piano', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=ae8ab6b3786d759b
The Missing 11th,힙합 & 랩,행복,"['electric guitar', 'strings', 'bass', 'drums', 'keys']",https://www.youtube.com/audiolibrary_download?vid=b4a82a04c9b2d668
Reasons To Hope,컨트리 & 포크,행복,"['acoustic guitar', 'piano', 'electric piano', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=1e1d87307bbf4c44
Anime,팝,행복,"['drums', 'synth', 'bass', 'electric piano', 'keys']",https://www.youtube.com/audiolibrary_download?vid=725235ff11dc05df
Winner Winner Funky Chicken Dinner,팝,행복,"['drums', 'drum machine', 'bass', 'synth', 'keys', 'acoustic guitar', 'bells', 'mallets']",https://www.youtube.com/audiolibrary_download?vid=2f712dca821e98ff
Cocktails,R&B 소울,행복,"['piano', 'horns', 'drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=309ecb0731c486e4
Playdate,팝,행복,"['organ', 'acoustic guitar', 'electric piano', 'percussion', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=a570597b9e889c3f
No.3 Morning Folk Song,컨트리 & 포크,행복,['piano'],https://www.youtube.com/audiolibrary_download?vid=41224b99618840d0
Palm Avenue,레게,행복,"['drums', 'bass', 'electric guitar', 'synth', 'piano', 'horns', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=ff17cf9f986e4e97
Shadowing,잔잔한 음악,행복,"['synth', 'drums', 'piano']",https://www.youtube.com/audiolibrary_download?vid=4817654dec00709a
Happy Haunts,영화음악,행복,"['Organ', 'Strings', 'Horn']",https://www.youtube.com/audiolibrary_download?vid=d5cecceef289374f
Mr. Tea,댄스 & 일렉트로닉,행복,"['synth', 'bass', 'guitars', 'drums']",https://www.youtube.com/audiolibrary_download?vid=15e9bb8c091a4af9
After the Soft Rains,월드뮤직,행복,"['Bass', 'Acoustic Guitar', 'Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=e1da42c885d13458
Jazz con Cajón,재즈 및 블루스,행복,"['Rhodes electric piano', 'upright bass', 'shaker', 'cajon', 'piano', 'male voice']",https://www.youtube.com/audiolibrary_download?vid=1b868d91334d1719
8-Bit Dreamscape,팝,행복,"['Synth', 'Keyboards', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=0993570a4192abb5
Wild Pogo,댄스 & 일렉트로닉,행복,['synth'],https://www.youtube.com/audiolibrary_download?vid=bf84674097cde0a4
Stuff,R&B 소울,행복,"['Bass', 'Drums', 'Synth', 'Guitar', 'Kazoo']",https://www.youtube.com/audiolibrary_download?vid=c541cfe3d233b75d
Arc of the Sun,팝,행복,"['Keyboards', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=c28adf7bc21a955d
Safety Net,컨트리 & 포크,행복,"['Drums', 'Acoustic Guitar', 'Bass', 'Electric Guitar', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=fc1b128c5c3bbd83
Nightingale,댄스 & 일렉트로닉,행복,"['synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=8fc46b5da6b42f2f
Renegade Jubilee,댄스 & 일렉트로닉,행복,"['Drums', 'Bass', 'Electric Guitar', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=c3a14a310078f561
Splashing Around,아동,행복,"['Synth', 'Bass', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=ff9972b07e1138a0
Entire,팝,행복,[],https://www.youtube.com/audiolibrary_download?vid=36afabd5d6ca96ea
