title,genre,mood,instruments,download_url
Requiem In Cello,클래식,슬픔,"['piano', 'strings', 'drums']",https://www.youtube.com/audiolibrary_download?vid=2039426748f08fc8
Orbit,잔잔한 음악,슬픔,"['piano', 'synth']",https://www.youtube.com/audiolibrary_download?vid=9be309583284ace5
Not Forgotten,컨트리 & 포크,슬픔,"['acoustic guitar', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=e3f84acba2444168
No.2 Remembering Her,클래식,슬픔,['piano'],https://www.youtube.com/audiolibrary_download?vid=2ab978e0bd8f2ae9
Last Train to Mars,컨트리 & 포크,슬픔,"['electric guitar', 'acoustic guitar', 'strings']",https://www.youtube.com/audiolibrary_download?vid=8c059deaf9b6eff2
Surrender(sad),컨트리 & 포크,슬픔,"['Electric Guitar', 'Acoustic Guitar', 'Percussion', 'Woodwinds']",https://www.youtube.com/audiolibrary_download?vid=94ceba10fe9600a5
Take Me to the Depths,락,슬픔,"['Piano', 'Bass', 'Electric Guitar', 'Synth', 'Acoustic Guitar', 'Banjo', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=b2b76e09e5e7d8ba
First Class,영화음악,슬픔,"['electric guitar', 'strings', 'bass', 'drums', 'keys']",https://www.youtube.com/audiolibrary_download?vid=1c0d31e198998773
Frost,영화음악,슬픔,['synth'],https://www.youtube.com/audiolibrary_download?vid=b9e2c7bdb9372cff
No.6 In My Dreams,클래식,슬픔,"['piano', 'strings']",https://www.youtube.com/audiolibrary_download?vid=d50e0a84249df107
Coming Home,컨트리 & 포크,슬픔,"['Acoustic Guitar', 'Percussion', 'Weissenborn']",https://www.youtube.com/audiolibrary_download?vid=88e14b16f266d09d
Bring Me Your Sorrows,컨트리 & 포크,슬픔,"['Acoustic Guitar', 'Percussion', 'Steel Guitar']",https://www.youtube.com/audiolibrary_download?vid=e08d367087946537
Aurora Currents,영화음악,슬픔,"['Strings', 'Synth', 'Piano']",https://www.youtube.com/audiolibrary_download?vid=00e5013ad0fc1752
Allégro,클래식,슬픔,['piano'],https://www.youtube.com/audiolibrary_download?vid=862be3e70f31a677
Boards,댄스 & 일렉트로닉,슬픔,"['piano', 'drums', 'synth']",https://www.youtube.com/audiolibrary_download?vid=9987ad3e2ab80b81
Mournful Departure,영화음악,슬픔,"['Piano', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=bfc328cc6cf08699
Suzuki's Theme,락,슬픔,"['Bass', 'Drums', 'Strings', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=860dc2f99f87c20d
Emotional Aftermath,힙합 & 랩,슬픔,"['drums', 'violin', 'synthesizers', 'bass', 'percussion', 'cello']",https://www.youtube.com/audiolibrary_download?vid=bb3cbaffccb8ef5c
Clean Break,댄스 & 일렉트로닉,슬픔,"['Modular Synthesizer', 'Drums', 'Electric Bass', 'Analog Synthesizer', 'Organ', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=1f3cf96d203c5c52
It Happens,힙합 & 랩,슬픔,"['woodwinds', 'drum machine', 'piano', 'Flugal horn', 'bass', 'guitar']",https://www.youtube.com/audiolibrary_download?vid=5ae708456f905716
After Thought,얼터너티브 & 펑크,슬픔,"['Analog Synthesizers', 'Drums', 'Electric Guitars', 'Electric Bass']",https://www.youtube.com/audiolibrary_download?vid=296a52b69bf503ab
Emotional Love Theme,영화음악,슬픔,"['Piano', 'Horns', 'Acoustic Guitar']",https://www.youtube.com/audiolibrary_download?vid=8d203c88c368cadf
Follow The Shadows,팝,슬픔,"['Drums', 'Bass', 'Guitar', 'Keyboards']",https://www.youtube.com/audiolibrary_download?vid=662e64efdf246f2f
I Cannot Forget You Yet,힙합 & 랩,슬픔,"['synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=f68a18decc71f060
St. Francis,락,슬픔,['electric guitar'],https://www.youtube.com/audiolibrary_download?vid=23c404ebcee1652c
Sulking,재즈 및 블루스,슬픔,"['Guitar', 'Slide Guitar', 'Drums', 'Bass', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=11860ad67a7bb326
I Don't Want To Do This Without You,영화음악,슬픔,"['bells', 'piano', 'electric guitar', 'synth']",https://www.youtube.com/audiolibrary_download?vid=1927f20ddaf4cf3a
Searching For The Missing Piece,영화음악,슬픔,['synth'],https://www.youtube.com/audiolibrary_download?vid=dc6744b67ac22e92
The Long Voyage To Outer Space,영화음악,슬픔,"['strings', 'piano']",https://www.youtube.com/audiolibrary_download?vid=3fdf70e44fd1223c
Dark Matter,댄스 & 일렉트로닉,슬픔,"['synth', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=98ee262fd8f56a22
I'll Remember You,영화음악,슬픔,['piano'],https://www.youtube.com/audiolibrary_download?vid=3d6302231f544f82
80's Video Game Death,영화음악,슬픔,['synth'],https://www.youtube.com/audiolibrary_download?vid=ba9b6f2a12e4fbca
Luke's Rage,영화음악,슬픔,"['electric guitar', 'strings', 'bass', 'drums', 'keys', 'electric piano', 'organ']",https://www.youtube.com/audiolibrary_download?vid=3d43c6c44c7e68e0
Organic Apples,락,슬픔,"['electric guitar', 'bass', 'synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=d4bbf3447ad1c208
Alien1963,힙합 & 랩,슬픔,"['synth', 'drums', 'bass', '808']",https://www.youtube.com/audiolibrary_download?vid=d8e8cd221610495d
Badlands,영화음악,슬픔,"['synth', 'drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=717862d3bbbd083f
First Sleep,클래식,슬픔,['strings'],https://www.youtube.com/audiolibrary_download?vid=e5674f7bfd88af2a
Falling Rain,영화음악,슬픔,['piano'],https://www.youtube.com/audiolibrary_download?vid=96243901d02a6971
Stars and Constellations,힙합 & 랩,슬픔,"['synth', 'drums', 'bass', 'percussion', 'piano', 'electric piano', 'keys', '808']",https://www.youtube.com/audiolibrary_download?vid=7187f0b9ccbcd396
We'll Meet Again,영화음악,슬픔,"['piano', 'strings', 'bass', 'violin', 'cello']",https://www.youtube.com/audiolibrary_download?vid=396a0897014dec23
Aletheia (Unforgetting),잔잔한 음악,슬픔,"['piano', 'synth']",https://www.youtube.com/audiolibrary_download?vid=82b5305d5596e873
Rain Cloud Music,잔잔한 음악,슬픔,['synth'],https://www.youtube.com/audiolibrary_download?vid=6355381d4f3bb3a3
OB1,R&B 소울,슬픔,"['piano', 'bass', 'electric guitar', '808', 'synth', 'drums', 'vocal chops']",https://www.youtube.com/audiolibrary_download?vid=d6ee5ff500b6e2de
"When It's Good, It's Great",컨트리 & 포크,슬픔,"['bass', 'piano', 'strings', 'acoustic guitar', 'drums', 'electric guitar', 'keys', 'synth']",https://www.youtube.com/audiolibrary_download?vid=435d6b942bb5650c
Jela,댄스 & 일렉트로닉,슬픔,"['ngoni', 'percussion', 'drums', 'synth', 'vocal chops']",https://www.youtube.com/audiolibrary_download?vid=d5ace3b75ac0c03a
Melancholy Lake,영화음악,슬픔,['strings'],https://www.youtube.com/audiolibrary_download?vid=004cfcecdb73fbd3
Lost Highway,잔잔한 음악,슬픔,['electric guitar'],https://www.youtube.com/audiolibrary_download?vid=341cedad69a066a4
Only Farwell,재즈 및 블루스,슬픔,"['acoustic guitar', 'electric guitar', 'bass', 'drums']",https://www.youtube.com/audiolibrary_download?vid=78cea426590ac3c9
Slow Hammers,영화음악,슬픔,"['piano', 'synth']",https://www.youtube.com/audiolibrary_download?vid=9c91db87d332678b
Colorless Aura,팝,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=a0b6692ced8ea557
Funeral Procession,잔잔한 음악,슬픔,"['Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=00bbbfb805d86e5f
Through and Through,영화음악,슬픔,"['piano', 'synth']",https://www.youtube.com/audiolibrary_download?vid=a3e2d44dfdc7ac54
Spacetime Blues,영화음악,슬픔,['synth'],https://www.youtube.com/audiolibrary_download?vid=232ac3c893756e7f
The Woods,얼터너티브 & 펑크,슬픔,"['Acoustic Guitar', 'Drums', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=cda2f747892332b5
Cue,얼터너티브 & 펑크,슬픔,"['Drums', 'Bass', 'Electric Guitar', 'Piano']",https://www.youtube.com/audiolibrary_download?vid=f0d3c74c362d00b8
Impromptu in Quarter,클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=d659f56a889fabdb
Red Chair,락,슬픔,"['Drums', 'Bass', 'Electric Guitar', 'Organ']",https://www.youtube.com/audiolibrary_download?vid=e5e11ac1c1800888
Heartbreaking,클래식,슬픔,['Piano'],https://www.youtube.com/audiolibrary_download?vid=9523c0bedfd4803c
Stopping By the Inn,클래식,슬픔,"['Acoustic Guitar', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=1f47c49e9dc5aa40
Heartache,재즈 및 블루스,슬픔,"['Drums', 'Bass', 'Electric Guitar']",https://www.youtube.com/audiolibrary_download?vid=c6bfec6428409329
Digital Solitude,잔잔한 음악,슬픔,"['Drums', 'Acoustic Guitar', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=e2911aab008c9cb6
Dream Land,락,슬픔,"['Drums', 'Bass', 'Piano', 'Organ', 'Electric Guitar', 'Strings', 'Synth']",https://www.youtube.com/audiolibrary_download?vid=d10b3f0865e0c66f
Level Plane,R&B 소울,슬픔,"['Drums', 'Piano', 'Bass']",https://www.youtube.com/audiolibrary_download?vid=dfb828f40096184c
First of the Last,잔잔한 음악,슬픔,"['Piano', 'Synth', 'Strings']",https://www.youtube.com/audiolibrary_download?vid=f95632bde31064ea
A Little Faith - Bitter Suite,클래식,슬픔,['Trumpet'],https://www.youtube.com/audiolibrary_download?vid=ae401186f8d5d78c
Solo Cello Passion,클래식,슬픔,['Strings'],https://www.youtube.com/audiolibrary_download?vid=cedf4f7191c30457
"Empty Bottle, Empty Bed",재즈 및 블루스,슬픔,['acoustic guitar'],https://www.youtube.com/audiolibrary_download?vid=e53a4be5f76a011c
Tides,잔잔한 음악,슬픔,"['synthesizer', 'guitar']",https://www.youtube.com/audiolibrary_download?vid=105f1c8808d78521
Almost A Year Ago,재즈 및 블루스,슬픔,"['Bass', 'Piano', 'Drums']",https://www.youtube.com/audiolibrary_download?vid=cee0e6fb9d7580d8
Amazing Grace,컨트리 & 포크,슬픔,"['cello', 'violin', 'strings']",https://www.youtube.com/audiolibrary_download?vid=b58e4a746f003846
The Hungry Ghost,잔잔한 음악,슬픔,['synth'],https://www.youtube.com/audiolibrary_download?vid=0d72a262b6796b4b
Things Are Going Southampton,힙합 & 랩,슬픔,"['synth', 'drums', 'bass', '808']",https://www.youtube.com/audiolibrary_download?vid=6a07705e25ca09db
Fights,락,슬픔,"['drums', 'bass', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=d529143886c6101c
Open Highway(sad),락,슬픔,"['Drums', 'Bass', 'Piano', 'Electric Guitar', 'Acoustic Guitar']",https://www.youtube.com/audiolibrary_download?vid=de8da5f6d2889df6
